CELEX_number,document_date,case_number,judges_text,language_text
62013TJ0275,2015-12-17,T-275/13,"composé de M. D. Gratsias (rapporteur), président, Mme M. Kancheva et M. C. Wetter, juges",Italian
62013TJ0295,2015-12-17,T-295/13,"composé de M. D. Gratsias (rapporteur), président, Mme M. Kancheva et M. C. Wetter, juges",Italian
62013TJ0510,2015-12-17,T-510/13,"composé de M. D. Gratsias (rapporteur), président, Mme M. Kancheva et M. C. Wetter, juges",Italian
62015TJ0079,2015-12-17,T-79/15,"composé de MM. G. Berardis (rapporteur), président, O. Czúcz et A. Popescu, juges",English
62012TJ0242,2015-12-17,T-242/12,"composé de M. M. van der Woude, président, Mme I. Wiszniewska-Białecka et M. I. Ulloa Rubio (rapporteur), juges",French
62013TJ0515,2015-12-17,T-515/13,"composé de M. M. van der Woude (rapporteur), président, Mme I. Wiszniewska-Białecka et M. I. Ulloa Rubio, juges",Spanish
62011TJ0486,2015-12-17,T-486/11,"composé de M. D. Gratsias, président, Mme M. Kancheva (rapporteur) et M. C. Wetter, juges",English
62011TJ0039,2015-12-16,T-39/11,"composé de M. H. Kanninen (rapporteur), président, Mme I. Pelikánová et M. E. Buttigieg, juges",English
62014TJ0521,2015-12-16,T-521/14,"composé de MM. S. Papasavvas (rapporteur), président, E. Bieliūnas et I. S. Forrester, juges",Swedish
62011TJ0028,2015-12-16,T-28/11,"composé de M. H. Kanninen (rapporteur), président, Mme I. Pelikánová et M. E. Buttigieg, juges",English
62011TJ0062,2015-12-16,T-62/11,"composé de M. H. Kanninen (rapporteur), président, Mme I. Pelikánová et M. E. Buttigieg, juges",French
62011TJ0040,2015-12-16,T-40/11,"composé de M. H. Kanninen (rapporteur), président, Mme I. Pelikánová et M. E. Buttigieg, juges",English
62011TJ0038,2015-12-16,T-38/11,"composé de M. H. Kanninen (rapporteur), président, Mme I. Pelikánová et M. E. Buttigieg, juges",English
62011TJ0043,2015-12-16,T-43/11,"composé de M. H. Kanninen (rapporteur), président, Mme I. Pelikánová et M. E. Buttigieg, juges",English
62011TJ0036,2015-12-16,T-36/11,"composé de M. H. Kanninen (rapporteur), président, Mme I. Pelikánová et M. E. Buttigieg, juges",English